customer_Id,DOB,Gender,city_code,transaction_id,tran_date,prod_subcat_code,prod_cat_code,Qty,Rate,Tax,total_amt,Store_type,ABS_Qty,ABS_Rate,ABS_total_amt
268408,2/1/1970,M,4.0,87243835584.0,13-01-2014,7.0,5.0,5.0,187.0,98.175,1033.175,TeleShop,5.0,187.0,98.175
268408,2/1/1970,M,4.0,16197868036.0,16-12-2013,1.0,4.0,-5.0,-210.0,110.25,-1160.25,Flagship store,5.0,210.0,110.25
268408,2/1/1970,M,4.0,16197868036.0,12/12/2013,1.0,4.0,5.0,210.0,110.25,1160.25,Flagship store,5.0,210.0,110.25
268408,2/1/1970,M,4.0,28810141075.0,2/9/2013,10.0,6.0,2.0,813.0,170.73,1796.73,TeleShop,2.0,813.0,170.73
268408,2/1/1970,M,4.0,64633435931.0,6/5/2013,4.0,2.0,3.0,312.0,98.28,1034.28,Flagship store,3.0,312.0,98.28
268408,2/1/1970,M,4.0,56902862040.0,30-01-2013,9.0,3.0,5.0,868.0,455.7,4795.7,e-Shop,5.0,868.0,455.7
268408,2/1/1970,M,4.0,56844530655.0,14-10-2012,1.0,2.0,5.0,1175.0,616.875,6491.875,MBR,5.0,1175.0,616.875
268408,2/1/1970,M,4.0,19516063887.0,7/9/2012,10.0,3.0,4.0,650.0,273.0,2873.0,e-Shop,4.0,650.0,273.0
268408,2/1/1970,M,4.0,12644501524.0,14-08-2012,4.0,4.0,3.0,321.0,101.115,1064.115,TeleShop,3.0,321.0,101.115
268408,2/1/1970,M,4.0,63314547725.0,26-04-2012,1.0,1.0,1.0,806.0,84.63,890.63,Flagship store,1.0,806.0,84.63
268408,2/1/1970,M,4.0,16688203936.0,12/7/2011,10.0,6.0,5.0,777.0,407.925,4292.925,Flagship store,5.0,777.0,407.925
269696,7/1/1970,F,8.0,47604927293.0,15-04-2012,9.0,3.0,-4.0,-735.0,308.7,-3248.7,MBR,4.0,735.0,308.7
269696,7/1/1970,F,8.0,47604927293.0,8/4/2012,9.0,3.0,4.0,735.0,308.7,3248.7,MBR,4.0,735.0,308.7
269696,7/1/1970,F,8.0,43207576535.0,18-09-2011,4.0,3.0,3.0,1354.0,426.51,4488.51,MBR,3.0,1354.0,426.51
268159,8/1/1970,F,8.0,60338341222.0,3/10/2013,3.0,1.0,1.0,318.0,33.39,351.39,e-Shop,1.0,318.0,33.39
268159,8/1/1970,F,8.0,65867401816.0,31-03-2013,11.0,5.0,5.0,214.0,112.35,1182.35,MBR,5.0,214.0,112.35
268159,8/1/1970,F,8.0,86038271893.0,30-01-2013,1.0,4.0,1.0,705.0,74.025,779.025,e-Shop,1.0,705.0,74.025
268159,8/1/1970,F,8.0,84897579006.0,24-12-2012,3.0,1.0,5.0,1410.0,740.25,7790.25,e-Shop,5.0,1410.0,740.25
268159,8/1/1970,F,8.0,30952495912.0,20-07-2012,11.0,6.0,2.0,148.0,31.08,327.08,e-Shop,2.0,148.0,31.08
268159,8/1/1970,F,8.0,39717092879.0,6/2/2012,10.0,6.0,5.0,1350.0,708.75,7458.75,TeleShop,5.0,1350.0,708.75
270181,10/1/1970,F,2.0,86078338517.0,16-01-2014,11.0,5.0,-2.0,-1404.0,294.84,-3102.84,e-Shop,2.0,1404.0,294.84
270181,10/1/1970,F,2.0,86078338517.0,9/1/2014,11.0,5.0,2.0,1404.0,294.84,3102.84,e-Shop,2.0,1404.0,294.84
270181,10/1/1970,F,2.0,71720060407.0,4/7/2013,3.0,1.0,4.0,1210.0,508.2,5348.2,Flagship store,4.0,1210.0,508.2
270181,10/1/1970,F,2.0,60141848042.0,6/3/2013,8.0,3.0,5.0,980.0,514.5,5414.5,e-Shop,5.0,980.0,514.5
270181,10/1/1970,F,2.0,80148327481.0,26-12-2012,1.0,2.0,3.0,592.0,186.48,1962.48,Flagship store,3.0,592.0,186.48
270181,10/1/1970,F,2.0,87325030499.0,22-09-2012,12.0,5.0,2.0,185.0,38.85,408.85,MBR,2.0,185.0,38.85
270181,10/1/1970,F,2.0,3045300861.0,16-06-2012,11.0,5.0,1.0,559.0,58.695,617.695,TeleShop,1.0,559.0,58.695
270181,10/1/1970,F,2.0,82362804856.0,20-01-2012,2.0,6.0,-4.0,-521.0,218.82,-2302.82,e-Shop,4.0,521.0,218.82
270181,10/1/1970,F,2.0,82362804856.0,18-01-2012,2.0,6.0,4.0,521.0,218.82,2302.82,e-Shop,4.0,521.0,218.82
270181,10/1/1970,F,2.0,47260895038.0,18-03-2011,8.0,3.0,1.0,1012.0,106.26,1118.26,Flagship store,1.0,1012.0,106.26
268073,11/1/1970,M,1.0,33468347680.0,30-12-2013,3.0,2.0,-1.0,-668.0,70.14,-738.14,MBR,1.0,668.0,70.14
268073,11/1/1970,M,1.0,33468347680.0,29-12-2013,3.0,2.0,1.0,668.0,70.14,738.14,MBR,1.0,668.0,70.14
268073,11/1/1970,M,1.0,37280279414.0,19-11-2011,6.0,5.0,5.0,1440.0,756.0,7956.0,MBR,5.0,1440.0,756.0
273216,15-01-1970,F,5.0,17357706602.0,23-12-2012,4.0,2.0,1.0,763.0,80.115,843.115,Flagship store,1.0,763.0,80.115
273216,15-01-1970,F,5.0,78180764480.0,13-12-2012,1.0,2.0,2.0,419.0,87.99,925.99,e-Shop,2.0,419.0,87.99
273216,15-01-1970,F,5.0,66536700395.0,3/11/2012,3.0,1.0,4.0,825.0,346.5,3646.5,MBR,4.0,825.0,346.5
273216,15-01-1970,F,5.0,70687849103.0,24-10-2012,4.0,3.0,4.0,317.0,133.14,1401.14,e-Shop,4.0,317.0,133.14
266929,15-01-1970,M,8.0,44856852006.0,30-09-2012,11.0,5.0,3.0,1132.0,356.58,3752.58,MBR,3.0,1132.0,356.58
275152,16-01-1970,M,4.0,77756237112.0,10/9/2013,4.0,1.0,5.0,308.0,161.7,1701.7,e-Shop,5.0,308.0,161.7
